구별,폭력,살인,강도,강간,절도,폭력검거율,살인검거율,강도검거율,강간검거율,절도검거율
강남구,1.0,0.9166666666666666,0.9411764705882353,0.9999999999999998,1.0,86.48459383753502,76.92307692307693,85.71428571428571,77.728285077951,42.85714285714285
강동구,0.4379692527708259,0.16666666666666666,0.05882352941176466,0.1556195965417867,0.4675278076785073,82.89085545722715,75.0,100.0,78.84615384615384,33.34742180896027
강북구,0.41544511977118337,0.41666666666666663,0.5294117647058822,0.14697406340057634,0.1331180480803732,88.63722159305398,100.0,92.85714285714286,82.35294117647058,43.09623430962343
강서구,0.6149445834823024,0.41666666666666663,0.4705882352941176,0.46109510086455324,0.37064944384642984,84.75210477081384,100.0,100.0,72.90076335877863,60.1145038167939
관악구,0.6474794422595638,0.5833333333333334,0.41176470588235287,0.6282420749279538,0.5895227843559383,80.10915706488781,88.88888888888889,100.0,69.0625,30.56171470805617
광진구,0.40686449767608146,0.16666666666666666,0.5294117647058822,0.39769452449567716,0.7043415859346969,83.04761904761905,100.0,100.0,91.66666666666666,42.2009253139458
구로구,0.5434393993564532,0.5,0.588235294117647,0.515850144092219,0.4564047362755651,80.87795144662454,75.0,73.33333333333333,58.362989323843415,38.07280513918629
금천구,0.20271719699678226,0.08333333333333334,0.05882352941176466,0.14121037463976943,0.18083961248654468,86.46543330087634,100.0,100.0,80.79470198675497,56.66879387364391
노원구,0.4419020378977475,0.6666666666666666,0.11764705882352938,0.2737752161383285,0.405453893074991,85.53066470804261,100.0,100.0,61.42131979695431,36.52530779753762
도봉구,0.0,0.08333333333333334,0.23529411764705882,0.0,0.0,87.62609280430397,100.0,100.0,100.0,44.96707431796801
동대문구,0.3793350017876296,0.24999999999999997,0.4705882352941176,0.20461095100864551,0.32938643702906356,87.40188383045526,100.0,100.0,84.39306358381504,41.09035840484604
동작구,0.15123346442617092,0.24999999999999997,0.23529411764705882,0.5273775216138328,0.2877646214567635,83.0890052356021,100.0,55.55555555555556,48.77192982456141,35.442359249329755
마포구,0.5348587772613513,0.5,0.5294117647058822,0.5533141210374639,0.5353426623609616,84.44518940663761,100.0,71.42857142857143,84.01360544217688,31.81996086105675
서대문구,0.20343224883804079,0.0,0.0,0.1498559077809798,0.2687477574452817,83.21984435797665,100.0,80.0,80.51948051948052,40.72847682119205
서초구,0.32606363961387197,0.5,0.23529411764705882,0.8386167146974062,0.5640473627556513,87.45310546060858,75.0,66.66666666666666,63.358778625954194,41.40417457305503
성동구,0.0446907400786557,0.16666666666666666,0.23529411764705882,0.06916426512968299,0.1951919626838895,86.53846153846155,100.0,88.88888888888889,94.44444444444444,37.14996888612321
성북구,0.25813371469431534,0.24999999999999997,0.0,0.13832853025936598,0.2590599210620739,83.97464916251698,100.0,80.0,82.66666666666667,41.51260504201681
송파구,0.6464068644976761,0.75,0.4705882352941176,0.340057636887608,0.780767850735558,84.55235204855842,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666
양천구,0.365391490883089,0.08333333333333334,0.05882352941176466,0.051873198847262214,0.296734840330104,80.90872857712236,100.0,50.0,87.5,35.55555555555556
영등포구,0.7454415445119771,0.9999999999999999,1.0,0.5561959654178674,0.6820954431288124,82.89473684210526,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405
용산구,0.2012870933142653,0.24999999999999997,0.5294117647058822,0.2651296829971181,0.17725152493720842,83.1219512195122,100.0,100.0,89.17525773195877,37.70070648683366
은평구,0.4168752234537004,0.08333333333333334,0.23529411764705882,0.18443804034582129,0.30534625044851094,86.92046739540143,100.0,66.66666666666666,84.93975903614458,37.14733542319749
종로구,0.2881658920271719,0.33333333333333337,0.35294117647058826,0.31412103746397696,0.4022246142805884,84.21282163105103,83.33333333333334,81.81818181818183,76.30331753554502,38.32417582417583
중구,0.26349660350375403,0.08333333333333334,0.23529411764705882,0.19596541786743515,0.5328310010764262,88.3093525179856,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573
중랑구,0.486235252055774,0.9166666666666666,0.35294117647058826,0.24495677233429397,0.384642985288841,84.54513523006673,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637
