,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별,위도,경도
0,중부서,2,2,3,2,105,65,1395,477,1355,1170,중구,37.56361812722828,126.98958691395208
1,종로서,3,3,6,5,115,98,1070,413,1278,1070,종로구,37.57185082446809,126.98417036713045
2,남대문서,1,0,6,4,65,46,1153,382,869,794,중구,37.55477683026614,126.97349503706043
3,서대문서,2,2,5,4,154,124,1812,738,2056,1711,서대문구,37.5649023404956,126.966790740735
4,혜화서,3,2,5,4,96,63,1114,424,1015,861,종로구,37.5718915247338,126.998935936567
5,용산서,5,5,14,14,194,173,1557,587,2050,1704,용산구,37.54117933635974,126.96777437089538
6,성북서,2,2,2,1,86,71,953,409,1194,1015,성북구,37.58989767143614,127.01625465308534
7,동대문서,5,5,13,13,173,146,1981,814,2548,2227,동대문구,37.5850804205685,127.045762797538
8,마포서,8,8,14,10,294,247,2555,813,2983,2519,마포구,37.5510118582052,126.95394117396
9,영등포서,14,12,22,20,295,183,2964,978,3572,2961,영등포구,37.52585220719,126.90094457988
10,성동서,4,4,9,8,126,119,1607,597,1612,1395,성동구,37.5617947420747,127.036472076258
11,동작서,5,5,9,5,285,139,1865,661,1910,1587,동작구,37.5131469479959,126.942857105642
12,광진서,4,4,14,26,240,220,3026,1277,2625,2180,광진구,37.54292164557882,127.08396170505674
13,서부서,2,2,2,1,70,59,819,293,1192,1038,은평구,37.60215667958602,126.92131688777927
14,강북서,7,8,14,13,153,126,1434,618,2649,2348,강북구,37.637406561393085,127.02733870040592
15,금천서,3,4,6,6,151,122,1567,888,2054,1776,금천구,37.45725314643252,126.89674921449215
16,중랑서,13,12,11,9,187,148,2135,829,2847,2407,중랑구,37.6182390801576,127.10454224897
17,강남서,3,3,15,12,300,225,2411,984,2465,2146,강남구,37.5093899463715,127.067070541137
18,관악서,9,8,12,14,320,221,2706,827,3298,2642,관악구,37.4745875338795,126.951062346192
19,강서서,7,8,13,13,262,191,2096,1260,3207,2718,강서구,37.5513470867979,126.849886071842
20,강동서,4,3,6,8,156,123,2366,789,2712,2248,강동구,37.52867274661258,127.12688982770433
21,종암서,3,3,3,3,64,53,832,332,1015,840,성북구,37.603700560962736,127.04013000033655
22,구로서,8,6,15,11,281,164,2335,889,3007,2432,구로구,37.5070387936593,126.890224925815
23,서초서,7,4,8,5,334,193,1982,905,1852,1607,서초구,37.49561086789221,127.00528097622329
24,양천서,3,5,6,3,120,105,1890,672,2509,2030,양천구,37.5165549067037,126.865542970902
25,송파서,11,10,13,10,220,178,3239,1129,3295,2786,송파구,37.5019757297179,127.12716129352492
26,노원서,10,10,7,7,197,121,2193,801,2723,2329,노원구,37.6423345266253,127.071404832413
27,방배서,1,2,1,1,59,56,653,186,547,491,서초구,37.48155944749938,126.98300906928465
28,은평서,1,1,7,5,96,82,1095,418,1461,1268,은평구,37.6285242467996,126.928631038584
29,도봉서,3,3,9,10,102,106,1063,478,1487,1303,도봉구,37.65339041848567,127.05270598499145
30,수서서,10,7,6,6,149,124,1439,666,1819,1559,강남구,37.4934972653425,127.077143044327
